"ID","rating"
7,1
14,1
63,1
69,1
89,1
129,1
134,0
135,0
206,1
207,0
209,1
261,1
334,1
388,0
392,1
417,0
431,0
436,1
472,1
500,0
511,0
514,0
537,0
553,0
566,1
588,1
608,1
636,1
640,1
664,0
683,1
717,1
743,1
757,0
764,1
772,0
781,1
786,1
794,1
826,0
837,1
840,1
873,0
906,1
910,1
933,1
935,0
942,0
947,0
955,0
964,0
966,0
971,0
975,1
1010,1
1060,0
1107,0
1132,1
1146,1
1156,0
1159,1
1175,1
1200,1
1235,1
1236,0
1272,1
1288,1
1292,1
1320,0
1354,1
1379,0
1380,1
1386,1
1394,0
1434,0
1465,1
1509,1
1530,1
1594,1
1669,1
1689,1
1695,1
1724,1
1751,0
1762,1
1763,0
1795,1
1802,0
1809,0
1815,1
1838,1
1849,0
1859,1
1897,1
1908,1
1921,1
1966,1
1973,0
1992,1
2007,0
2014,1
2027,1
2090,0
2117,0
2126,1
2139,1
2161,1
2174,0
2186,0
2211,0
2217,0
2263,1
2265,1
2295,1
2296,1
2314,0
2318,0
2415,1
2444,1
2459,1
2526,1
2580,0
2597,1
2602,1
2664,1
2668,1
2673,1
2683,0
2703,0
2705,1
2718,0
2721,1
2749,0
2772,0
2803,1
2806,1
2809,1
2826,1
2842,1
2889,1
2952,1
2991,0
3006,1
3007,1
3016,1
3038,0
3044,0
3052,0
3059,0
3064,1
3067,0
3074,1
3084,1
3104,0
3109,0
3176,0
3234,1
3400,1
3416,1
3473,1
3500,1
3506,0
3517,1
3585,1
3587,1
3588,0
3613,1
3653,0
3704,0
3777,0
3867,1
3868,1
3872,1
3884,0
3886,0
3902,1
4005,1
4043,0
4053,1
4080,1
4083,1
4090,1
4126,1
4139,1
4155,0
4198,1
4206,0
4211,1
4280,0
4332,1
4364,0
4401,1
4404,1
4416,1
4449,1
4486,1
4524,1
4535,0
4542,0
4544,0
4547,1
4557,1
4573,0
4583,1
4644,0
4661,1
4674,0
4725,1
4730,1
4750,1
4768,1
4769,0
4778,0
4855,0
4905,1
4923,0
4934,1
4947,0
4967,1
5008,1
5018,0
5035,0
5040,1
5084,1
5096,1
5135,1
5147,1
5234,0
5253,1
5286,1
5289,1
5291,0
5339,1
5345,1
5355,1
5384,1
5411,1
5431,1
5437,1
5486,1
5507,0
5509,0
5538,1
5540,1
5629,1
5637,1
5673,1
5681,0
5683,1
5749,0
5751,1
5770,1
5831,0
5875,1
5889,1
5896,1
5909,0
5917,0
5920,0
5945,1
5951,0
5952,0
5975,1
5985,1
6000,1
6011,1
6026,1
6035,1
6057,1
6069,1
6123,1
6126,1
6136,0
6143,0
6152,1
6158,1
6195,1
6261,0
6270,1
6308,1
6320,1
6351,1
6361,1
6366,0
6391,1
6413,1
6429,0
6451,0
6517,1
6534,1
6577,1
6619,0
6636,1
6686,0
6716,1
6726,1
6737,0
6756,0
6767,1
6785,1
6789,1
6795,1
6837,1
6870,1
6899,1
6917,1
6925,0
6934,1
6968,1
6972,1
6979,0
6990,0
7013,0
7095,1
7120,0
7133,1
7136,1
7144,1
7159,1
7164,1
7194,1
7201,0
7211,1
7215,1
7252,1
7253,1
7336,0
7392,1
7393,1
7427,0
7434,0
7446,0
7451,1
7463,0
7489,1
7500,0
7502,1
7510,1
7528,0
7546,1
7563,0
7572,0
7579,1
7639,0
7699,0
7714,1
7718,1
7741,1
7774,1
7784,1
7795,0
7814,1
7826,1
7855,1
7896,1
7908,0
7968,1
7971,1
7993,0
8049,0
8053,0
8054,0
8084,1
8089,1
8119,0
8142,1
8147,1
8149,1
8151,0
8188,0
8216,1
8232,0
8234,0
8249,1
8263,0
8276,1
8300,1
8302,0
8314,0
8340,1
8361,0
8366,1
8438,0
8453,1
8467,0
8486,1
8544,1
8559,0
8567,1
8630,1
8680,1
8681,0
8685,0
8690,1
8726,1
8783,0
8788,1
8826,0
8832,0
8838,1
8849,1
8854,1
8874,1
8883,1
8886,0
8902,0
8908,0
8957,1
8961,1
8962,1
8964,1
9059,0
9085,0
9098,1
9108,1
9115,1
9160,0
9168,0
9203,1
9226,1
9250,0
9279,1
9282,1
9295,1
9299,0
9313,1
9363,0
9370,0
9391,1
9439,1
9494,1
9528,1
9604,0
9623,0
9634,0
9669,0
9714,0
9748,1
9752,0
9765,1
9766,1
9767,0
9772,1
9785,1
9791,1
9800,1
9803,1
9806,0
9807,0
9850,0
9887,0
9903,1
9905,1
9940,1
9949,1
9986,1
10008,0
10149,1
10167,1
10174,0
10193,1
10202,0
10231,0
10233,0
10234,1
10266,0
10301,1
10303,0
10338,0
10345,1
10374,1
10455,1
10461,1
10489,0
10517,0
10523,1
10525,1
10534,0
10549,1
10567,1
10569,0
10572,1
10580,0
10597,0
10614,1
10622,1
10648,1
10670,1
10702,1
10760,1
10761,1
10771,1
10781,0
10807,0
10856,1
10859,1
10869,0
10936,0
10938,1
10970,1
11038,0
11040,0
11052,0
11065,0
11073,1
11077,1
11104,0
11135,1
11151,0
11200,1
11207,1
11228,1
11262,0
11318,1
11341,1
11344,0
11364,1
11375,1
11463,1
11468,1
11513,1
11533,0
11544,1
11545,0
